.      193.868,        131.5
.      193.868,       204.75
.      197.669,       431.75
.      193.868,       563.75
.      193.868,       683.75
.      193.868,         744.
.      193.868,         749.
.      186.265,       747.25
.      197.669,       745.25
.      190.066,       736.75
.      193.868,       729.75
.      193.868,       718.75
.      190.066,       737.25
.      193.868,       710.25
.      193.868,       705.75
.      193.868,         699.
.      197.669,         712.
.      193.868,       709.75
.      193.868,        710.5
.      193.868,        707.5
.      193.868,       703.25
.      190.066,       709.25
.      193.868,         741.
.      190.066,         739.
.      193.868,         745.
.      197.669,       741.75
.      193.868,       735.75
.      190.066,        672.5
.      193.868,       425.25
.      159.656,        304.5
.      190.066,       203.25
